char,pron
大掣,dai6 zäi1
第二首,däi6 yi6 säu2
道賀,däu6 ho6
發散,fæk2 sæng2
辣油,læk6 yäu4
李鵬,li1 pæng4
生完仔,sæng1 yüng4 zäi2
頭班車,täu4 bæng1 ce1
推上報,töi1 söng1 bäu1
肺片,fäi1 ping2
行客,häng4 hæk2
響噹噹,höng2 dong1 dong1
二傳手,yi6 cüng4 säu2
那把,na1 ba2
那根,na1 gäng1
惡有惡報,ok2 yäu1 ok2 bäu1
醒獅,säng2 si1
數碼通,su1 ma1 tung1
煲電話粥,bäu1 ding6 wa2 zuk2
圓領,yüng4 leng1
葵青區,kwäi4 cäng1 kü1
林二汶,läm4 yi6 mäng4
兩節,löng1 zik2
唔數,m4 su2
舞場,mu1 cöng4
每下,mui1 ha1
生嘢,sæng1 ya1
跣水,sing1 söi2
井井有條,zäng2 zäng2 yäu1 tiu4
粵拼,yük6 päng1
爛佬,læng6 läu2
冒險樂園,mäu6 him2 lok6 yüng4
五下,ng1 ha1
散失,sæng1 säk2
鮮美,sing1 mi1
乘除,säng4 cü4
蘇彝士,su1 yi4 si6
提包,täi4 bau1
陳健波,cäng4 ging6 bo1
千斤頂,cing1 gäng1 däng2
歡呼聲,fung1 fu1 säng1
簡便,gæng2 bing6
函數,ham4 su1
好膽,häu2 dam2
飲飽食醉,yäm2 bau2 säk6 zöi1
油漬,yäu4 zäk2
有泡,yäu1 pau1
爛滾,læng6 gwäng2
龍馬精神,lung4 ma1 zäng1 säng4
旁敲側擊,pong4 hau1 zäk2 gäk2
衰仔紙,söi1 zäi2 zi2
識行識走,säk2 hæng4 säk2 zäu2
絕處逢生,zük6 cü1 fung4 säng1
大乘,dai6 säng4
第二把,däi6 yi6 ba2
協和,hip2 wo4
墨斗,mäk6 däu2
數白欖,su2 bæk6 lam2
左側,zo2 zäk2
清數,cäng1 su1
長生店,cöng4 säng1 dim1
重獲新生,cung4 wok6 säng1 säng1
第二行,däi6 yi6 hong4
見使,ging1 säi2
入過波,yäp6 gwo1 bo1
禮數,läi1 su1
無精打采,mu4 zäng1 da2 cöi2
沒精打采,muk6 zäng1 da2 cöi2
五餅二魚,ng1 beng2 yi6 yü4
中庸之道,zung1 yung4 zi1 däu6
保齡球場,bäu2 läng4 käu4 cöng4
茶仔,ca4 zäi2
陳百強,cäng4 bæk2 köng4
打奶,da2 nai1
肥仔波,fi4 zäi2 bo1
好立克,häu2 läp6 häk2
言之成理,ying4 zi1 säng4 li1
密使,mäk6 si1
我淨係,ngo1 zäng6 häi6
三口六面,sam1 häu2 luk6 ming6
三轉,sam1 züng2
齊陰,cäi4 yäm1
村校,cüng1 hau6
軒尼詩道,hing1 ni4 si1 däu6
衣領,yi1 läng1
老處,läu1 cü1
那不是,na1 bäk2 si6
散紙包,sæng2 zi2 bau1
散下心,sæng1 ha1 säm1
省港旗兵,sæng2 gong2 ki4 bäng1
十二點半,säp6 yi6 dim2 bung1
食粥食飯,säk6 zuk2 säk6 fæng6
吹波仔,cöi1 bo1 zäi2
搭錯線,dap2 co1 sing1
金童玉女,gäm1 tung4 yuk6 nü1
狹路相逢,hap2 lu6 söng1 fung4
兩仔爺,löng1 zäi2 ye4
米奇老鼠,mai1 ki4 läu1 sü2
無稽之談,mu4 käi1 zi1 tam4
每行,mui1 hong4
生飛滋,sæng1 fi1 zi1
食螺絲,säk6 lo4 si1
華陀,wa4 to4
招降,ziu1 hong4
重酬,cung1 cäu4
打門,da2 mung4
反目成仇,fæng2 muk6 säng4 säu4
飲下酒,yäm2 ha1 zäu2
乳膠漆,yü1 gau1 cäk2
連掃,ling4 säu1
孖公仔,ma1 gung1 zäi2
普度眾生,pu2 du6 zung1 säng1
普渡眾生,pu2 du6 zung1 säng1
繡球,säu1 käu4
發下夢,fæk2 ha1 mung6
家長信,ga1 zöng2 säng1
油尖旺區,yäu4 zim1 wong6 kü1
量杯,löng6 bui1
老爆,läu1 bau1
龍井,lung4 zäng2
馬蹄露,ma1 täi4 lu6
生積,sæng1 zäk2
相與,söng1 yü1
粗生,cu1 sæng1
短少,düng2 siu2
貨如輪轉,fo1 yü4 läng4 züng2
領匯,läng1 wui6
射龍門,se6 lung4 mung4
盛典,säng6 ding2
華埠,wa4 fäu6
不求甚解,bäk2 käu4 säm6 gai2
不惜工本,bäk2 säk2 gung1 bung2
連片,ling4 ping1
那聲,na1 säng1
將錯就錯,zöng1 co1 zäu6 co1
縱橫交錯,zung1 wæng4 gau1 co1
別上,bik6 söng6
急降,gäp2 gong1
後生細仔,häu6 sæng1 säi1 zäi2
乳清,yü1 cäng1
望梅止渴,mong6 mui4 zi2 fuk2
作梗,zok2 gäng2
亞斯匹靈,a1 si1 päk2 läng4
亞士匹靈,a1 si6 päk2 läng4
嘔心瀝血,äu2 säm1 läk2 hük2
叉錯腳,ca1 co1 gök2
踩錯腳,cai2 co1 gök2
慘無人道,cam2 mu4 yäng4 däu6
齊射,cäi4 se6
打斧頭,da2 fu2 täu4
飛轉,fi1 züng1
輕飄,heng1 piu1
好嘔心,häu2 äu2 säm1
英皇道,yäng1 wong4 däu6
鮮卑,sing1 bi1
先睹為快,sing1 du2 wäi4 fai1
邊青,bing1 cäng1
特為,däk6 wäi6
二等兵,yi6 däng2 bäng1
楷書,kai2 sü1
吸聲,käp2 säng1
劉江華,läu4 gong1 wa4
連着,ling4 zök6
陸軍裝,luk6 gwäng1 zong1
省去,sæng2 hü1
聽開,teng1 fui1
聽住歌,teng1 zü6 go1
爭鳴,zäng1 mäng4
豬籠車,zü1 lung4 ce1
暗物質,äm1 mäk6 zäk2
波濤洶湧,bo1 täu4 hung1 yung2
車條,ce1 tiu4
燈油,däng1 yäu4
格下價,gæk2 ha1 ga1
好唔好聽,häu2 m4 häu2 teng1
二更,yi6 gæng1
預會,yü6 wui6
數支,su1 zi1
暑期班,sü2 ki4 bæng1
包金,bau1 gäm1
不二法門,bäk2 yi6 fæk2 mung4
表錯情,biu2 co1 cäng4
打打鬧鬧,da2 da2 nau6 nau6
疊字,dip6 zi6
佛都有火,fäk6 du1 yäu1 fo2
計下數,gäi1 ha1 su1
兩百萬,löng1 bæk2 mæng6
隆重其事,lung4 zung6 ki4 si6
扭虧為盈,näu2 kwäi1 wäi4 yäng4
身嬌肉貴,säng1 giu1 yuk6 gwäi1
身驕肉貴,säng1 giu1 yuk6 gwäi1
乘數表,säng4 su1 biu2
上雜,söng6 zap6
偷片,täu1 ping2
百家爭鳴,bæk2 ga1 zäng1 mäng4
打喊露,da2 ham1 lu6
負片,fu6 ping2
閣仔,gok2 zäi2
一聲不響,yäk2 säng1 bäk2 höng2
二十九,yi6 säp6 gäu2
兩碗,löng1 wung2
十二指腸,säp6 yi6 zi2 cöng4
威靈頓,wäi1 läng4 däng6
請緊人,ceng2 gäng2 yäng4
假仁假義,ga2 yäng4 ga2 yi6
官仔,gwung1 zäi2
鬼食泥,gwäi2 säk6 näi4
乳汁,yü1 zäp2
怨憤,yüng1 fäng1
晾乾,long6 gung1
恃老賣老,ci1 läu1 mai6 läu1
穿州過省,cüng1 zäu1 gwo1 sæng2
方皓玟,fong1 häu6 mäng4
飢不擇食,gi1 bäk2 zæk6 säk6
見肚,ging1 tu1
吸食毒品,käp2 säk6 duk6 bäng2
墨家,mäk6 ga1
面懵,ming6 mung2
那片,na1 ping1
省得,sæng2 däk2
食雞胸,säk6 gäi1 hung1
酸辣湯,süng1 læk6 tong1
天倫之樂,ting1 läng4 zi1 lok6
最惠國,zöi1 wäi6 gwok2
聚散,zü6 sæng1
八下,bæk2 ha1
青絲,ceng1 si1
朝陽,ciu4 yöng4
打開機,da2 fui1 gi1
地球儀,di6 käu4 yi4
多平台,do1 päng4 töi4
腹大便便,fuk2 dai6 bing6 bing6
儆惡懲奸,gäng2 ok2 cäng4 gæng1
過橋米線,gwo1 kiu4 mai1 sing1
戲班,hi1 bæng1
戲假情真,hi1 ga2 cäng4 zäng1
任達華,yäm6 dæk6 wa4
渾身上下,wäng4 säng1 söng6 ha6
集散,zap6 sæng1
載運,zöi1 wäng6
打垮,da2 kwa1
地下鐵路,di6 ha6 tik2 lu6
頂肚,däng2 tu1
頂肚癮,däng2 tu1 yäng1
欺上瞞下,hi1 söng6 mung4 ha6
紅番,hung4 fæng1
音讀,yäm1 duk6
一心二用,yäk2 säm1 yi6 yung6
沙暴,sa1 bäu6
食滯,säk6 zäi6
走青,zäu2 ceng1
拔刀相助,bäk6 däu1 söng1 zo6
打簿,da2 bu2
道統,däu6 tung2
粉墨登場,fäng2 mäk6 däng1 cöng4
扶老攜幼,fu4 läu1 kwäi4 yäu1
肛裂,gong1 lik6
乳酸菌,yü1 süng1 kwäng2
側手翻,zäk2 säu2 fæng1
青茶,ceng1 ca4
財相,cöi4 söng1
單刀橫傳,dæng1 däu1 wæng4 cüng4
驚駭,gäng1 hai1
下世投胎,ha6 säi1 täu4 töi1
幸會,häng6 wui6
李強,li1 köng4
靈灰,läng4 fui1
兩三下,löng1 sam1 ha1
那支,na1 zi1
卧底行動,ngo6 däi2 häng4 dung6
腦波,näu1 bo1
神魂顛倒,säng4 wäng4 ding1 däu2
車公廟,ce1 gung1 miu6
打一身,da2 yäk2 säng1
代代相傳,döi6 döi6 söng1 cüng4
軍民兩用,gwäng1 mäng4 löng1 yung6
蟹鉗,hai1 kim4
紅暈,hung4 wäng6
兩拳,löng1 küng4
三長兩短,sam1 cöng4 löng1 düng2
水乾,söi2 gung1
頭暈眼花,täu4 wäng4 ngæng1 fa1
推重,töi1 zung6
胎生,töi1 säng1
陶藝,täu4 ngäi6
打預,da2 yü6
拂袖而去,fäk2 zäu6 yi4 hü1
下脣,ha6 säng4
起下底,hi2 ha1 däi2
衣衫襤褸,yi1 sam1 lam4 läu1
落湯雞,lok6 tong1 gäi1
無線上網,mu4 sing1 söng1 mong1
武裝份子,mu1 zong1 fäng6 zi2
拍下拖,pæk2 ha1 to1
像話,zöng6 wa6
逼車,bäk2 ce1
表情包,biu2 cäng4 bau1
打炮,da2 pau1
梗頸四,gäng2 geng2 si1
恩平,yäng1 päng4
一念之差,yäk2 nim6 zi1 ca1
右側,yäu6 zäk2
愉景新城,yü4 gäng2 säng1 säng4
名譽掃地,mäng4 yü6 säu1 di6
士擔,si6 dam1
透下,täu1 ha1
真心話,zäng1 säm1 wa2
真心話,zäng1 säm1 wa6
八載,bæk2 zöi2
服毒,fuk6 duk6
假希望,ga2 hi1 mong6
管樂,gwung2 ngok6
行先一步,hæng4 sing1 yäk2 bu6
黑桃,häk2 täu4
麥浚龍,mæk6 zäng1 lung4
面左左,ming6 zo2 zo2
南生圍,nam4 säng1 wäi4
糯米粉,no6 mai1 fäng2
十尾,säp6 mi1
太上老君,tai1 söng6 läu1 gwäng1
標波,biu1 bo1
千分之,cing1 fäng6 zi1
打荷包,da2 ho4 bau1
救傷車,gäu1 söng1 ce1
好得多,häu2 däk2 do1
那發,na1 fæk2
食住條水,säk6 zü6 tiu4 söi2
最高等,zöi1 gäu1 däng2
蔡少芬,cöi1 siu1 fäng1
大粒麥,dai6 näp2 mæk6
丹青,dæng1 cäng1
火拼,fo2 päng1
下晏,ha6 æng1
兩股,löng1 gwu2
陶器,täu4 hi1
白白淨淨,bæk6 bæk6 zäng6 zäng6
不夜城,bäk2 ye6 säng4
茶湯,ca4 tong1
六下,luk6 ha1
武裝部,mu1 zong1 bu6
澳仔,au1 zäi2
窩打老道,wo1 da2 läu1 däu6
背默,bui6 mäk6
都冇乜,du1 mäu1 mäk2
口硬心軟,häu2 ngæng6 säm1 yüng1
開枝散葉,fui1 zi1 sæng1 yip6
好盞,häu2 zæng2
乳齒,yü1 ci2
李敏,li1 mäng1
領袖生,läng1 zäu6 säng1
兩罐,löng1 gwung1
平安紙,päng4 wung1 zi2
乘法,säng4 fæk2
掃雷,säu1 löi4
踢足球,tek2 zuk2 käu4
條痕,tiu4 häng4
兵臨城下,bäng1 läm4 säng4 ha6
從輕發落,cung4 häng1 fæk2 lok6
下下次,ha6 ha1 ci1
仰卧起坐,yöng1 ngo6 hi2 co1
惡狠狠,ok2 häng2 häng2
平素,päng4 su1
泡泡浴,päu1 päu1 yuk6
四聲,si1 säng1
陳方安生,cäng4 fong1 wung1 säng1
對話框,döi1 wa6 kwæng1
浮粉,fäu4 fäng2
鬼月,gwäi2 ngük6
下個站,ha6 go1 zam6
下齶,ha6 ngok6
虛浮,hü1 fäu4
好食懶飛,häu1 säk6 læng1 fi1
人煙稀少,yäng4 ying1 hi1 siu2
人微言輕,yäng4 mi4 ying4 häng1
肉參,yuk6 säm1
楷模,kai2 mu4
老行尊,läu1 hong4 züng1
牛尾,ngäu4 mi1
隧道費,söi6 däu6 fäi1
相食,söng1 säk6
和合石,wo4 häp6 sek6
差遣,cai1 hing2
見食,ging1 säk6
下不為例,ha6 bäk2 wäi4 läi6
號數,häu6 su1
願者上釣,yüng6 ze2 söng1 diu1
兩排,löng1 pai4
片片,ping1 ping1
死死下,si2 si2 ha1
上海街,söng6 fui2 gai1
數十名,su1 säp6 mäng4
數所,su1 so2
斜對,ce4 döi1
可以試下,ho2 yi1 si1 ha1
慷慨解囊,hong2 kwui1 gai2 nong4
人滿為患,yäng4 mung1 wäi4 wæng6
女人街,nü1 yäng4 gai1
捱更抵夜,ngai4 gæng1 däi2 ye6
水到渠成,söi2 däu1 kü4 säng4
聲母,säng1 mu1
雙槓,söng1 gong1
上村,söng6 cüng1
送貨上門,sung1 fo1 söng1 mung4
摘下,zæk6 ha6
車房仔,ce1 fong4 zäi2
長沙灣道,cöng4 sa1 wæng1 däu6
大驚失色,dai6 gäng1 säk2 säk2
頂閘,däng2 zap6
窟窿,fäk2 lung1
放下心,fong1 ha6 säm1
幾頂,gi2 deng2
見機行事,ging1 gi1 häng4 si6
鬼佬話,gwäi2 läu2 wa2
口腫面腫,häu2 zung2 ming6 zung2
楊屋道,yöng4 uk2 däu6
融會貫通,yung4 wui6 gwung1 tung1
無從稽考,mu4 cung4 käi1 hau2
務使,mu6 si2
烚熟狗頭,sap6 suk6 gäu2 täu4
煠熟狗頭,sap6 suk6 gäu2 täu4
上過水,söng6 gwo1 söi2
調解員,tiu4 gai2 yüng4
陳腔濫調,cäng4 hong1 lam1 diu6
長貧難顧,cöng4 päng4 næng4 gwu1
大班椅,dai6 bæng1 yi2
第二粒,däi6 yi6 näp2
惹埋,ye1 mai4
米餅,mai1 beng2
煤油,mui4 yäu4
每下愈況,mui1 ha6 yü6 fong1
篷車,pung4 ce1
生辰八字,sæng1 säng4 bæk2 zi6
生辰八字,säng1 säng4 bæk2 zi6
死車,si2 ce1
上海市,söng6 fui2 si1
斷碼,tüng1 ma1
湖水藍,wu4 söi2 lam4
白面書生,bæk6 ming6 sü1 säng1
悄悄話,ciu1 ciu1 wa6
打拍,da2 pæk2
彈雨,dæng6 yü1
踏車,dap6 ce1
車水馬龍,gü1 söi2 ma1 lung4
乾笑,gung1 siu1
與世長辭,yü1 säi1 cöng4 ci4
兩顆,löng1 fo2
賣剩蔗,mai6 zäng6 ze1
米通,mai1 tung1
面霜,ming6 söng1
奶黃包,nai1 wong4 bau1
眼仔碌碌,ngæng1 zäi2 luk2 luk2
泡打粉,pau1 da2 fäng2
三十二,sam1 säp6 yi6
駛車,säi2 ce1
獸行,säu1 häng6
雪糕月餅,sük2 gäu1 ngük6 beng2
太平門,tai1 päng4 mung4
暴跳如雷,bäu6 tiu1 yü4 löi4
坐過監,co1 gwo1 gam1
獨力難支,duk6 läk6 næng4 zi1
揀唔揀,gæng2 m4 gæng2
企領,ki1 leng1
量詞,löng6 ci4
抹片,muk2 ping2
踢緊波,tek2 gäng2 bo1
長通粉,cöng4 tung1 fäng2
紅簿仔,hung4 bu2 zäi2
耳仔軟,yi1 zäi2 yüng1
葉公好龍,yip6 gung1 häu1 lung4
淤塞,yü1 säk2
魚尾紋,yü4 mi1 mäng4
魚尾雲,yü4 mi1 wäng4
月經杯,ngük6 gäng1 bui1
其利斷金,ki4 li6 düng1 gäm1
老坐,läu1 co1
米王,mai1 wong4
收伏,säu1 fuk6
食奶,säk6 nai1
鮮豔,sing1 yim6
梳打餅,so1 da2 beng2
雙馬尾,söng1 ma1 mi1
上下堂,söng1 ha1 tong4
上輩子,söng6 bui1 zi2
調理農務,tiu4 li1 nung4 mu6
暈船,wäng4 süng4
班期,bæng1 ki4
包書,bau1 sü1
除數,cü4 su1
出下聲,cäk2 ha1 säng1
浮標,fäu4 biu1
飛紙仔,fi1 zi2 zäi2
健身單車,ging6 säng1 dæng1 ce1
公因數,gung1 yäng1 su1
厚多士,häu1 do1 si6
開篷車,fui1 pung4 ce1
魚翅撈飯,yü4 ci1 läu1 fæng6
李國章,li1 gwok2 zöng1
李顯龍,li1 hing2 lung4
論功行賞,läng6 gung1 häng4 söng2
老人病,läu1 yäng4 beng6
老友鬼鬼,läu1 yäu1 gwäi2 gwäi2
無風起浪,mu4 fung1 hi2 long6
無風作浪,mu4 fung1 zok2 long6
沙灘波,sa1 tæng1 bo1
窩釘,wo1 deng1
井欄,zäng2 læng4
折疊,zik2 dip6
策士,cæk2 si6
肥皂泡,fi4 zäu6 päu1
一兩點,yäk2 löng1 dim2
買兩邊,mai1 löng1 bing1
面肥,ming6 fi4
相濡以沫,söng1 yü4 yi1 muk6
八道,bæk2 däu6
肺活量,fäi1 wuk6 löng6
近水樓台,gäng6 söi2 läu4 töi4
巨著,gü6 zü1
如假包換,yü4 ga2 bau1 wung6
襟撈,käm1 läu1
惡念,ok2 nim6
睡醒,söi6 seng2
揸上手,za1 söng1 säu2
青靚,ceng1 leng1
打混,da2 wäng6
封包,fung1 bau1
油隔,yäu4 gæk2
面斥不雅,ming6 cäk2 bäk2 nga1
門仔,mung4 zäi2
寧波,näng4 bo1
雙重人格,söng1 cung4 yäng4 gæk2
執二攤,zäp2 yi6 tæng1
吱聲,zi1 säng1
八字波,bæk2 zi6 bo1
包艇,bau1 täng1
不平則鳴,bäk2 päng4 zäk2 mäng4
塵暴,cäng4 bäu6
情竇初開,cäng4 däu6 co1 fui1
打敗仗,da2 bai6 zöng1
貴姓,gwäi1 säng1
啪啪聲,pæk2 pæk2 säng1
腎上腺素,säng6 söng6 sing1 su1
死做爛做,si2 zu6 læng6 zu6
攝石人,sip2 sek6 yäng4
消解,siu1 gai2
紓壓,sü1 æk2
自治領,zi6 zi6 läng1
刻苦耐勞,hæk2 fu2 nöi6 läu4
層層疊,cäng4 cäng4 dip6
取樂,cü2 lok6
開肚,fui1 tu1
行距,hong4 kü1
鹽都,yim4 du1
兩席,löng1 zäk6
咪霸,mäi1 ba1
美夢成真,mi1 mung6 säng4 zäng1
安樂茶飯,wung1 lok6 ca4 fæng6
生滾,sæng1 gwäng2
燒包,siu1 bau1
為真,wäi4 zäng1
摘取,zæk6 cü2
曾國衞,zäng1 gwok2 wäi6
八度,bæk2 du6
波蘭人,bo1 læng4 yäng4
松柏,cung4 pæk2
傳家寶,cüng4 ga1 bäu2
副食,fu1 säk6
蜂擁而至,fung1 yung2 yi4 zi1
荷蘭人,ho4 læng4 yäng4
李梓敬,li1 zi2 gäng1
連消帶打,ling4 siu1 dai1 da2
食穀種,säk6 guk2 zung2
脊椎動物,zek2 zöi1 dung6 mäk6
墊腳,zing1 gök2
做生活,zu6 säng1 wuk6
邊下,bing1 ha1
打靶仔,da2 ba2 zäi2
第一班,däi6 yäk2 bæng1
九龍城區,gäu2 lung4 säng4 kü1
貴格,gwäi1 gæk2
石刻,sek6 häk2
思樂冰,si1 lok6 bäng1
井然,zäng2 ying4
七十二變,cäk2 säp6 yi6 bing1
青紅皂白,cäng1 hung4 zäu6 bæk6
長唔長,cöng4 m4 cöng4
向量,höng1 löng6
日全食,yäk6 cüng4 säk6
曾江,zäng1 gong1
追寶尾,zöi1 bäu2 mi1
載譽歸來,zöi1 yü6 gwäi1 löi4
拜讀,bai1 duk6
低等生物,däi1 däng2 säng1 mäk6
都拉斯,du1 lai1 si1
改簿,gwui2 bu2
顧不上,gwu1 bäk2 söng1
公仔佬,gung1 zäi2 läu2
印度佬,yäng1 du6 läu2
弄虛作假,lung6 hü1 zok2 ga2
美聲,mi1 säng1
難以啟齒,næng4 yi1 käi2 ci2
三思而行,sam1 si1 yi4 häng4
世界強國,säi1 gai1 köng4 gwok2
瑞士雞翼,söi6 si6 gäi1 yäk6
華懋,wa4 mäu6
第二劑,däi6 yi6 zäi1
各為其主,gok2 wäi6 ki4 zü2
估歌仔,gwu2 go1 zäi2
食詐餬,säk6 za1 wu4
禍從口出,wo6 cung4 häu2 cäk2
曾樂彤,zäng1 lok6 tung4
着眼於,zök6 ngæng1 yü1
反守為攻,fæng2 säu2 wäi4 gung1
放下手,fong1 ha1 säu2
一肚火,yäk2 tu1 fo2
雷公鑿,löi4 gung1 zok6
兩副,löng1 fu1
屙爛屎,o1 læng6 si2
拍卡,pæk2 kæk2
衫鈕,sam1 näu2
新冠病毒,säng1 gwung1 beng6 duk6
瞬間移動,säng1 gæng1 yi4 dung6
時刻表,si4 häk2 biu2
護花使者,wu6 fa1 si1 ze2
左右為難,zo2 yäu6 wäi4 næng4
裝甲部隊,zong1 gap2 bu6 döi6
圭亞那,gwäi1 a1 na1
打油詩,da2 yäu4 si1
乾蒸,gung1 zäng1
姑仔,gwu1 zäi2
校本,hau6 bung2
刻版,häk2 bæng2
輕熟女,häng1 suk6 nü1
嘢少,ya1 siu2
二排,yi6 pai4
溶溶爛爛,yung4 yung4 læng6 læng6
茸茸爛爛,yung4 yung4 læng6 læng6
蓉蓉爛爛,yung4 yung4 læng6 læng6
融融爛爛,yung4 yung4 læng6 læng6
老人政治,läu1 yäng4 zäng1 zi6
舞小姐,mu1 siu2 ze2
省城,sæng2 säng4
世風日下,säi1 fung1 yäk6 ha6
洲仔,zäu1 zäi2
大食懶,dai6 säk6 læng1
抵諗,däi2 näm2
滴滴仔,däk6 däk6 zäi2
解穢酒,gai2 wäi1 zäu2
掛職,gwa1 zäk2
行公司,hæng4 gung1 si1
旅行家,lü1 hæng4 ga1
樂道,lok6 däu6
免費搭車,ming1 fäi1 dap2 ce1
拍下片,pæk2 ha1 ping2
衫袋,sam1 döi6
受降,säu6 hong4
總掣,zung2 zäi1
長期飯票,cöng4 ki4 fæng6 piu1
倒轉頭,däu1 züng1 täu4
交易者,gau1 yäk6 ze2
辱華,yuk6 wa4
冇種,mäu1 zung2
每班,mui1 bæng1
那台,na1 töi4
山難,sæng1 næng6
勢成水火,säi1 säng4 söi2 fo2
神經衰弱,säng4 gäng1 söi1 yök6
數不盡,su2 bäk2 zäng6
絕對零度,zük6 döi1 läng4 du6
屏息靜氣,bäng2 säk2 zäng6 hi1
波羅蜜,bo1 lo4 mäk6
波迷,bo1 mäi4
坐移民監,co1 yi4 mäng4 gam1
乾枯,gung1 fu1
過下癮,gwo1 ha1 yäng1
喺唔喺度,häi2 m4 häi2 du6
海鮮醬,fui2 sing1 zöng1
二號橋,yi6 häu6 kiu4
嚴唔嚴重,yim4 m4 yim4 zung6
燕麥片,ying1 mæk6 ping2
燕尾服,ying1 mi1 fuk6
袁國強,yüng4 gwok2 köng4
月全食,ngük6 cüng4 säk6
靈寶,läng4 bäu2
那部,na1 bu6
硬橋硬馬,ngæng6 kiu4 ngæng6 ma1
硬馬硬橋,ngæng6 ma1 ngæng6 kiu4
安分守己,wung1 fäng6 säu2 gi2
散手,sæng2 säu2
射龜,se6 gwäi1
霜降,söng1 gong1
精巧,zäng1 hau2
朝思暮想,ziu1 si1 mu6 söng2
巴士飛,ba1 si2 fi1
擦背,cæk2 bui1
侵食,cäm1 säk6
兜風耳,däu1 fung1 yi1
頂檔,däng2 dong1
頂當,däng2 dong1
倒鈎,däu2 ngäu1
毒資,duk6 zi1
官仔骨骨,gwung1 zäi2 gwäk2 gwäk2
好好天,häu2 häu2 ting1
羊城,yöng4 säng4
稽考,käi1 hau2
面目模糊,ming6 muk6 mu4 wu4
那塊,na1 fai1
生態系,säng1 tai1 häi6
食色,säk6 säk2
想試下,söng2 si1 ha1
即時傳譯,zik2 si4 cüng4 yäk6
掌相,zöng2 söng1
豬肉乾,zü1 yuk6 gung1
比薩斜塔,bi2 sæk2 ce4 tap2
碧波,bäk2 bo1
七十二,cäk2 säp6 yi6
青綠色,ceng1 luk6 säk2
彈叉,dæng6 ca1
疊埋心水,dip6 mai4 säm1 söi2
兩片,löng1 ping1
五間,ng1 gæng1
斷奶,tüng1 nai1
抓舉,zau2 gü2
井然有序,zäng2 ying4 yäu1 zü6
轉船,züng2 süng4
齊頭數,cäi4 täu4 su1
重操故業,cung4 cäu1 gwu1 yip6
打下卡,da2 ha1 kæk2
抌春,däm2 cäng1
言出必行,ying4 cäk2 bik2 häng4
藥片,yök6 ping2
月兔,ngük6 tu1
兩程,löng1 cäng4
那方,na1 fong1
捱生捱死,ngai4 sæng1 ngai4 si2
片石,ping2 sek6
平調,päng4 diu6
掃管笏,säu1 gwung2 fäk2
數條,su1 tiu4
陶大宇,täu4 dai6 yü1
幻燈片,wæng6 däng1 ping2
會德豐,wui6 däk2 fung1
成班,seng4 bæng1
成班,säng4 bæng1
青山道,cäng1 sæng1 däu6
浮萍,fäu4 päng4
歡樂時光,fung1 lok6 si4 gwong1
故弄,gwu1 lung6
公唔公平,gung1 m4 gung1 päng4
利錢,li6 cing4
萬載,mæng6 zöi2
面面俱圓,ming6 ming6 kü1 yüng4
那套,na1 täu1
四大名著,si1 dai6 mäng4 zü1
水蛇春咁長,söi2 se4 cäng1 gäm1 cöng4
太平公主,tai1 päng4 gung1 zü2
圍頭話,wäi4 täu4 wa2
集腋成裘,zap6 yäk6 säng4 käu4
壓埋,æk2 mai4
榜上無名,bong2 söng6 mu4 mäng4
車衣,ce1 yi1
第二架,däi6 yi6 ga1
麩質,fu1 zäk2
副食品,fu1 säk6 bäng2
解剖室,gai2 fäu2 säk2
易守難攻,yi6 säu2 næng4 gung1
兩台,löng1 töi4
麥美恩,mæk6 mi1 yäng1
平年,päng4 ning4
食完嘢,säk6 yüng4 ya1
數服,su1 fuk6
數根,su1 gäng1
數據機,su1 gü1 gi1
土話,tu2 wa2
活靈活現,wuk6 läng4 wuk6 ying6
曾偉雄,zäng1 wäi1 hung4
着眼點,zök6 ngæng1 dim2
陳國強,cäng4 gwok2 köng4
打完波,da2 yüng4 bo1
各不相讓,gok2 bäk2 söng1 yöng6
江湖大佬,gong1 wu4 dai6 läu2
窿窿,lung1 lung1
硬逼,ngæng6 bäk2
惡疾,ok2 zäk6
曬衫,sai1 sam1
十月懷胎,säp6 ngük6 wai4 töi1
死剩把口,si2 zäng6 ba2 häu2
死淨把口,si2 zäng6 ba2 häu2
食仔,säk6 zäi2
掃風,säu1 fung1
數據流,su1 gü1 läu4
宣傳教育,süng1 cüng4 gäu1 yuk6
土崩瓦解,tu2 bäng1 nga1 gai2
不來梅,bäk2 löi4 mui4
坐完監,co1 yüng4 gam1
電荷,ding6 ho6
頂頭上司,däng2 täu4 söng6 si1
多士爐,do1 si2 lu4
建生,ging1 säng1
驚濤,gäng1 täu4
講鬼話,gong2 gwäi2 wa2
乞食科,häk2 säk6 fo1
日偏食,yäk6 ping1 säk6
乳交,yü1 gau1
強有力,köng4 yäu1 läk6
咩班,me1 bæng1
外來物種,wui6 löi4 mäk6 zung2
拍爛檔,pæk2 læng6 dong1
拍硬檔,pæk2 ngæng6 dong1
陪都,pui4 du1
深省,säm1 säng2
話名,wa6 mäng4
自食惡果,zi6 säk6 ok2 gwo2
坐禪,zo6 sim4
彈射器,dæng6 se6 hi1
化險為夷,fa1 him2 wäi4 yi4
非分之想,fi1 fäng6 zi1 söng2
康華,hong1 wa4
豪強,häu4 köng4
人強馬壯,yäng4 köng4 ma1 zong1
爛地,læng6 di6
