char,pron
煮飯,zü2 fæng6
焗飯,guk6 fæng6
煮餸,zü2 sung1
煲湯,bäu1 tong1
滾湯,gwäng2 tong1
盪碗,long1 wung2
洗碗,säi2 wung2
執拾,zap2 säp6
供養,gung1 yöng1
掌屋,zöng2 uk2
掌門口,zöng2 mung4 häu2
晾衫,long6 sam1
晾燥,long6 zau1
火燭,fo2 zuk2
出力,cäk2 läk6
攤凍,tæng1 dung1
泛穀,pæng1 guk2
糯米,no6 mäi1
粘米,zim1 mäi1
米仔,mäi1 zäi2
狗尾粟,gäu2 mi1 suk2
包粟,bau1 suk2
高粱,gäu1 löng4
黃豆,wong4 däu2
大豆,dai6 däu2
荷蘭豆,ho4 læng2 däu2
蠶豆,cam4 däu2
芝麻,zi1 ma4
豆角,däu6 gok2
扁豆,bing2 däu6
葛薯,guk2 sü4
荷蘭薯,ho4 læng2 sü4
薯仔,sü4 zäi2
地豆,di6 däu6
地豆米,di6 däu6 mäi1
栗子,läk6 zi1
菠菜,bo2 cöi1
黃芽白,wong4 nga4 bæk6
矮瓜,äi2 gwa1
絲瓜,si1 gwa1
番瓜,fæng1 gwa1
冬瓜,dung1 gwa1
青瓜,ceng1 gwa1
番茄,fæng1 kö2
菜頭,cöi1 täu4
紅蘿蔔,hung4 lo4 bæk6
甘筍,gäm1 säng2
辣椒,læk6 ziu2
蕹菜,ung1 cöi1
韭菜,gäu2 cöi1
莧菜,hing1 cöi1
芥菜,gai1 cöi1
芹菜,käng4 cöi1
芫荽,yim4 säi1
生菜,sæng1 cöi1
潺菜,sæng4 cöi1
慈姑,ci4 gu1
牙姑,nga4 gu1
蓮藕,ling4 ngäu1
馬蹄,ma1 täi2
菱角,läng4 gok2
蒜頭,süng1 täu4
蒜梗,süng1 kwæng2
蕎頭,kiu1 täu4
菜梗,cöi1 kwæng2
菜根,cöi1 gäng2
浮仔,fäu4 zäi2
浮薸,pou4 piu4
生果,sæng1 gwo2
李仔,li2 zäi2
腍柿,näm4 ci2
腍柿,näm4 säi4
石榴,sek6 läu4
雪梨,sük2 li4
碌柚,luk2 yäu2
梅仔,mui4 zäi2
菩提子,pu4 täi4 zi2
櫻桃,yäng1 täu4
紅棗,hung4 zäu2
合桃,häp6 täu4
山楂,sæng1 za1
牙蕉,nga4 ziu1
荔枝,läi6 zi2
龍眼,lung4 ngæng1
西瓜,säi1 gwa1
梅花,mui4 fa1
杏花,häng6 fa1
桃花,täu4 fa1
蓮花,ho4 fa1
蓮花,ling4 fa1
桂花,gwäi1 fa1
杜鵑花,du6 güng2 fa1
蘭花,læng4 fa1
雞春花,gäi1 cäng1 fa1
茉莉,muk6 li2
白蘭,bæk6 læng2
白蘭花,bæk6 læng2 fa1
金銀花,gäm1 ngäng4 fa1
菊花,guk2 fa1
葵花,kwäi4 fa1
棉花,ming4 fa1
槐樹,wai4 sü6
楓樹,fung1 sü6
苦楝樹,fu2 ling6 sü6
千層皮,cing1 cäng4 pi4
桑仔,song1 zäi1
榕樹,yung4 sü6
烏桕,wu1 käu1
白果樹,bæk6 gwo2 sü6
梧桐,ng4 tung4
茶樹,ca4 sü6
山茶,sæng1 ca4
棕櫚,zung1 lü1
樟木樹,zöng1 muk6 sü6
竹根,zuk2 gäng1
竹衣,zuk2 yi1
竹筍,zuk2 säng2
竹篾,zuk2 mik6
茅草,mau4 cäu2
榔箕,long4 gi1
青苔,ceng1 töi4
蘆葦,lu4 wäi1
樹枝,sü6 zi1
樹尾,sü6 mi2
樹頭,sü6 täu4
